Coupon,IsActivated,DateExpire,DateActivated,IsUsed,DateUsed,IsCancel,IsFail2Regist,DateCancel,Recruiter,wave,seed_init,chain,c_lower,r_lower
2g7Np,y,2022-03-09 18:11:29,2022-02-23 18:11:29,y,2022-02-23 20:04:03,,,,PdUXV,117,hwley,"hwley,d5pmj,peuej,cbadn,fb4v5,dhwyp,y6kvj,c5gka,hnkn8,ypbwn,zza8w,4prx5,55vxd,bmrsv,metfm,5xzqu,sp98t,ajmyu,mazxv,98f2j,vmsct,ebbvk,k3spa,kudm6,dgh5n,rmbht,qh869,t7cb3,s76x5,hp6gy,kk3eb,v4ztu,5qkxq,dr7wp,dgjyd,xgg8y,2hdnv,hnjfm,ryyvp,bzwqz,bbvhu,a5rvz,3ubzx,tx9bd,vmrku,y7hxg,kxqss,zhgc6,a6ajh,t7cmr,8q5m7,xtend,abm7n,75ubs,huqqb,hyvkg,5jhpa,2wmzj,jgjcf,gfnv6,ekr2d,g42j9,zmgym,pae5v,dpxhw,nng7b,yhxr3,qw3fj,v2t3a,6cs5u,gqrqc,fwnnw,zdc9a,m55ba,2yyur,7rarr,y3k5y,32gfm,v5czt,exm7c,ufcac,hsrc4,xaask,an9vc,rwase,qcsey,6xuyc,ysmdx,5mym7,pzjsn,ckaaf,aawfe,2wrsd,ruu7f,gc9fc,sjx9n,vp4zt,7p65e,fjsfk,b8ftz,8jnwp,rmzxg,wzcjz,3ebfm,fyvnx,xns2m,emvxw,xcfwc,nfchu,ks7ur,pgk9m,jhayd,nq3vb,svjpm,nkwsq,p5gev,pduxv,2g7Np",2g7np,pduxv
2H5AV,y,2022-03-16 20:07:10,2022-03-02 20:07:10,y,2022-03-02 21:04:13,,,,KdbCR,92,hwley,"hwley,d5pmj,peuej,cbadn,fb4v5,dhwyp,y6kvj,c5gka,hnkn8,ypbwn,zza8w,4prx5,55vxd,bmrsv,metfm,5xzqu,sp98t,ajmyu,mazxv,98f2j,vmsct,ebbvk,k3spa,kudm6,dgh5n,rmbht,qh869,t7cb3,s76x5,hp6gy,kk3eb,v4ztu,5qkxq,dr7wp,dgjyd,xgg8y,2hdnv,hnjfm,ryyvp,bzwqz,bbvhu,a5rvz,3ubzx,tx9bd,vmrku,y7hxg,kxqss,zhgc6,a6ajh,t7cmr,8q5m7,xtend,abm7n,75ubs,huqqb,hyvkg,5jhpa,2wmzj,jgjcf,gfnv6,ekr2d,g42j9,zmgym,pae5v,dpxhw,nng7b,yhxr3,qw3fj,v2t3a,6cs5u,gqrqc,fwnnw,zdc9a,m55ba,2yyur,7rarr,y3k5y,32gfm,v5czt,exm7c,jy42t,zhkkp,r3e9n,3jswg,xtgd8,trgsq,3ccsj,bs5mb,sbcp7,ufeu3,47p2f,kdbcr,2H5AV",2h5av,kdbcr
2hDnv,y,2022-03-05 03:24:11,2022-02-19 03:24:11,y,2022-02-19 03:53:07,,,,XGG8Y,36,hwley,"hwley,d5pmj,peuej,cbadn,fb4v5,dhwyp,y6kvj,c5gka,hnkn8,ypbwn,zza8w,4prx5,55vxd,bmrsv,metfm,5xzqu,sp98t,ajmyu,mazxv,98f2j,vmsct,ebbvk,k3spa,kudm6,dgh5n,rmbht,qh869,t7cb3,s76x5,hp6gy,kk3eb,v4ztu,5qkxq,dr7wp,dgjyd,xgg8y,2hDnv",2hdnv,xgg8y
2JA22,y,2022-03-19 12:57:49,2022-03-05 12:57:49,y,2022-03-05 13:34:14,,,,rFEvk,108,hwley,"hwley,d5pmj,peuej,cbadn,fb4v5,dhwyp,y6kvj,c5gka,hnkn8,ypbwn,zza8w,4prx5,55vxd,bmrsv,metfm,5xzqu,sp98t,ajmyu,mazxv,98f2j,vmsct,ebbvk,k3spa,kudm6,dgh5n,rmbht,qh869,t7cb3,s76x5,hp6gy,kk3eb,v4ztu,5qkxq,dr7wp,dgjyd,xgg8y,2hdnv,hnjfm,ryyvp,bzwqz,bbvhu,a5rvz,3ubzx,tx9bd,vmrku,y7hxg,kxqss,zhgc6,a6ajh,t7cmr,8q5m7,xtend,abm7n,75ubs,huqqb,hyvkg,5jhpa,2wmzj,jgjcf,gfnv6,ekr2d,g42j9,zmgym,pae5v,dpxhw,nng7b,yhxr3,qw3fj,v2t3a,6cs5u,gqrqc,fwnnw,zdc9a,m55ba,2yyur,7rarr,y3k5y,32gfm,v5czt,exm7c,jy42t,zhkkp,r3e9n,3jswg,xtgd8,trgsq,3ccsj,bs5mb,sbcp7,ufeu3,47p2f,npptb,3artu,wdrwf,g3qsw,xjpf7,hb5q3,mmc3u,wzshq,jjmyq,smjrs,xsyz7,rftm8,9svqk,9dj4s,67ub6,ekfgx,rfevk,2JA22",2ja22,rfevk
2JwPc,y,2022-02-28 22:04:30,2022-02-14 22:04:30,y,2022-02-15 17:27:16,,,,7Kxv9,2,3bffq,"3bffq,7kxv9,2JwPc",2jwpc,7kxv9
2kAra,y,2022-03-18 22:03:46,2022-03-04 22:03:46,y,2022-03-04 22:11:38,,,,GEzMX,58,hwley,"hwley,d5pmj,peuej,cbadn,fb4v5,dhwyp,y6kvj,c5gka,hnkn8,ypbwn,zza8w,4prx5,55vxd,bmrsv,metfm,5xzqu,sp98t,ajmyu,mazxv,98f2j,vmsct,ebbvk,k3spa,kudm6,dgh5n,rmbht,qh869,t7cb3,s76x5,hp6gy,kk3eb,v4ztu,5qkxq,dr7wp,dgjyd,xgg8y,2hdnv,hnjfm,ryyvp,bzwqz,bbvhu,a5rvz,3ubzx,tx9bd,vmrku,y7hxg,kxqss,zhgc6,a6ajh,t7cmr,8q5m7,xtend,abm7n,75ubs,huqqb,hyvkg,5jhpa,gezmx,2kAra",2kara,gezmx
2ma2n,y,2022-03-10 12:28:09,2022-02-24 12:28:09,y,2022-02-24 12:42:51,,,,JUn7m,130,hwley,"hwley,d5pmj,peuej,cbadn,fb4v5,dhwyp,y6kvj,c5gka,hnkn8,ypbwn,zza8w,4prx5,55vxd,bmrsv,metfm,5xzqu,sp98t,ajmyu,mazxv,98f2j,vmsct,ebbvk,k3spa,kudm6,dgh5n,rmbht,qh869,t7cb3,s76x5,hp6gy,kk3eb,v4ztu,5qkxq,dr7wp,dgjyd,xgg8y,2hdnv,hnjfm,ryyvp,bzwqz,bbvhu,a5rvz,3ubzx,tx9bd,vmrku,y7hxg,kxqss,zhgc6,a6ajh,t7cmr,8q5m7,xtend,abm7n,75ubs,huqqb,hyvkg,5jhpa,2wmzj,jgjcf,gfnv6,ekr2d,g42j9,zmgym,pae5v,dpxhw,nng7b,yhxr3,qw3fj,v2t3a,6cs5u,gqrqc,fwnnw,zdc9a,m55ba,2yyur,7rarr,y3k5y,32gfm,v5czt,exm7c,ufcac,hsrc4,xaask,an9vc,rwase,qcsey,6xuyc,ysmdx,5mym7,pzjsn,ckaaf,aawfe,2wrsd,ruu7f,gc9fc,sjx9n,vp4zt,7p65e,fjsfk,b8ftz,8jnwp,rmzxg,wzcjz,3ebfm,fyvnx,xns2m,emvxw,xcfwc,nfchu,ks7ur,pgk9m,jhayd,nq3vb,svjpm,nkwsq,qbvsu,ym5qd,v2kft,m4wmp,6kpuw,znq9d,d7hmn,qpcnd,a99t3,jqwnh,bbfve,sys4a,wpq6d,mz9r7,jun7m,2ma2n",2ma2n,jun7m
2PeEJ,y,2022-03-01 18:55:39,2022-02-15 18:55:39,y,2022-02-17 05:40:08,,,,jQ55r,4,3bffq,"3bffq,7kxv9,2jwpc,jq55r,2PeEJ",2peej,jq55r
2QpXh,y,2022-03-20 15:05:20,2022-03-06 15:05:20,y,2022-03-06 15:13:41,,,,GNtcn,86,hwley,"hwley,d5pmj,peuej,cbadn,fb4v5,dhwyp,y6kvj,c5gka,hnkn8,ypbwn,zza8w,4prx5,55vxd,bmrsv,metfm,5xzqu,sp98t,ajmyu,mazxv,98f2j,vmsct,ebbvk,k3spa,kudm6,dgh5n,rmbht,qh869,t7cb3,s76x5,hp6gy,kk3eb,v4ztu,5qkxq,dr7wp,dgjyd,xgg8y,2hdnv,hnjfm,ryyvp,bzwqz,bbvhu,a5rvz,3ubzx,tx9bd,vmrku,y7hxg,kxqss,zhgc6,a6ajh,t7cmr,8q5m7,xtend,abm7n,75ubs,huqqb,hyvkg,5jhpa,gezmx,2kara,xpghp,h4rxu,frw87,bccnv,uuyvz,8hrtv,vv3t4,desdf,jsmus,nfahv,d2khb,p4hca,xjuka,zbv4x,xxap7,hubm7,n54hz,zbfzu,y4apw,mchvq,b66wf,c6vhc,ppc9q,kbe9j,k4evz,2vgvy,gntcn,2QpXh",2qpxh,gntcn
2tVTM,y,2022-03-17 21:00:48,2022-03-03 21:00:48,y,2022-03-03 21:34:50,,,,cMvuM,104,hwley,"hwley,d5pmj,peuej,cbadn,fb4v5,dhwyp,y6kvj,c5gka,hnkn8,ypbwn,zza8w,4prx5,55vxd,bmrsv,metfm,5xzqu,sp98t,ajmyu,mazxv,98f2j,vmsct,ebbvk,k3spa,kudm6,dgh5n,rmbht,qh869,t7cb3,s76x5,hp6gy,kk3eb,v4ztu,5qkxq,dr7wp,dgjyd,xgg8y,2hdnv,hnjfm,ryyvp,bzwqz,bbvhu,a5rvz,3ubzx,tx9bd,vmrku,y7hxg,kxqss,zhgc6,a6ajh,t7cmr,8q5m7,xtend,abm7n,75ubs,huqqb,hyvkg,5jhpa,2wmzj,jgjcf,gfnv6,ekr2d,g42j9,zmgym,pae5v,dpxhw,nng7b,yhxr3,qw3fj,v2t3a,6cs5u,gqrqc,fwnnw,zdc9a,m55ba,2yyur,7rarr,y3k5y,32gfm,v5czt,exm7c,jy42t,zhkkp,r3e9n,3jswg,xtgd8,trgsq,3ccsj,bs5mb,sbcp7,ufeu3,47p2f,npptb,3artu,wdrwf,g3qsw,xjpf7,zqduz,sw7kd,shphq,sqtaj,zzcwx,vzxxw,hs2rh,cmvum,2tVTM",2tvtm,cmvum
2V4Mf,y,2022-03-18 19:43:02,2022-03-04 19:43:02,y,2022-03-04 21:04:22,,,,cW22a,103,hwley,"hwley,d5pmj,peuej,cbadn,fb4v5,dhwyp,y6kvj,c5gka,hnkn8,ypbwn,zza8w,4prx5,55vxd,bmrsv,metfm,5xzqu,sp98t,ajmyu,mazxv,98f2j,vmsct,ebbvk,k3spa,kudm6,dgh5n,rmbht,qh869,t7cb3,s76x5,hp6gy,kk3eb,v4ztu,5qkxq,dr7wp,dgjyd,xgg8y,2hdnv,hnjfm,ryyvp,bzwqz,bbvhu,a5rvz,3ubzx,tx9bd,vmrku,y7hxg,kxqss,zhgc6,a6ajh,t7cmr,8q5m7,xtend,abm7n,75ubs,huqqb,hyvkg,5jhpa,2wmzj,jgjcf,gfnv6,ekr2d,g42j9,zmgym,pae5v,dpxhw,nng7b,yhxr3,qw3fj,v2t3a,6cs5u,gqrqc,fwnnw,zdc9a,m55ba,2yyur,7rarr,y3k5y,32gfm,v5czt,exm7c,jy42t,zhkkp,r3e9n,3jswg,xtgd8,trgsq,3ccsj,bs5mb,sbcp7,ufeu3,47p2f,npptb,63zwg,t5g6d,wjcea,s7xdy,r7m2t,cqcqx,kecxh,nwcqu,j2hxt,tawbp,cw22a,2V4Mf",2v4mf,cw22a
2vgVy,y,2022-03-20 13:33:32,2022-03-06 13:33:32,y,2022-03-06 13:56:53,,,,K4EVz,84,hwley,"hwley,d5pmj,peuej,cbadn,fb4v5,dhwyp,y6kvj,c5gka,hnkn8,ypbwn,zza8w,4prx5,55vxd,bmrsv,metfm,5xzqu,sp98t,ajmyu,mazxv,98f2j,vmsct,ebbvk,k3spa,kudm6,dgh5n,rmbht,qh869,t7cb3,s76x5,hp6gy,kk3eb,v4ztu,5qkxq,dr7wp,dgjyd,xgg8y,2hdnv,hnjfm,ryyvp,bzwqz,bbvhu,a5rvz,3ubzx,tx9bd,vmrku,y7hxg,kxqss,zhgc6,a6ajh,t7cmr,8q5m7,xtend,abm7n,75ubs,huqqb,hyvkg,5jhpa,gezmx,2kara,xpghp,h4rxu,frw87,bccnv,uuyvz,8hrtv,vv3t4,desdf,jsmus,nfahv,d2khb,p4hca,xjuka,zbv4x,xxap7,hubm7,n54hz,zbfzu,y4apw,mchvq,b66wf,c6vhc,ppc9q,kbe9j,k4evz,2vgVy",2vgvy,k4evz
2vwNd,y,2022-03-22 04:01:15,2022-03-08 04:01:15,y,2022-03-08 04:02:50,,,,rGAFE,120,hwley,"hwley,d5pmj,peuej,cbadn,fb4v5,dhwyp,y6kvj,c5gka,hnkn8,ypbwn,zza8w,4prx5,55vxd,bmrsv,metfm,5xzqu,sp98t,ajmyu,mazxv,98f2j,vmsct,ebbvk,k3spa,kudm6,dgh5n,rmbht,qh869,t7cb3,s76x5,hp6gy,kk3eb,v4ztu,5qkxq,dr7wp,dgjyd,xgg8y,2hdnv,hnjfm,ryyvp,bzwqz,bbvhu,a5rvz,3ubzx,tx9bd,vmrku,y7hxg,kxqss,zhgc6,a6ajh,t7cmr,8q5m7,xtend,abm7n,75ubs,huqqb,hyvkg,5jhpa,2wmzj,jgjcf,gfnv6,ekr2d,g42j9,zmgym,pae5v,dpxhw,nng7b,yhxr3,qw3fj,v2t3a,6cs5u,gqrqc,fwnnw,zdc9a,m55ba,2yyur,7rarr,y3k5y,32gfm,v5czt,exm7c,ufcac,hsrc4,xaask,an9vc,rwase,qcsey,6xuyc,ysmdx,5mym7,pzjsn,ckaaf,aawfe,2wrsd,ruu7f,gc9fc,sjx9n,vp4zt,7p65e,fjsfk,b8ftz,8jnwp,rmzxg,wzcjz,3ebfm,fyvnx,xns2m,emvxw,xcfwc,nfchu,ks7ur,pgk9m,jhayd,nq3vb,svjpm,nkwsq,p5gev,pduxv,cbpvk,6csyt,rgafe,2vwNd",2vwnd,rgafe
2WHXc,y,2022-03-22 11:03:17,2022-03-08 11:03:17,y,2022-03-08 11:07:28,,,,xBnnx,93,hwley,"hwley,d5pmj,peuej,cbadn,fb4v5,dhwyp,y6kvj,c5gka,hnkn8,ypbwn,zza8w,4prx5,55vxd,bmrsv,metfm,5xzqu,sp98t,ajmyu,mazxv,98f2j,vmsct,ebbvk,k3spa,kudm6,dgh5n,rmbht,qh869,t7cb3,s76x5,hp6gy,kk3eb,v4ztu,5qkxq,dr7wp,dgjyd,xgg8y,2hdnv,hnjfm,ryyvp,bzwqz,bbvhu,a5rvz,3ubzx,tx9bd,vmrku,y7hxg,kxqss,zhgc6,a6ajh,t7cmr,8q5m7,xtend,abm7n,75ubs,huqqb,hyvkg,5jhpa,gezmx,2kara,xpghp,h4rxu,frw87,bccnv,uuyvz,8hrtv,vv3t4,desdf,jsmus,nfahv,d2khb,p4hca,xjuka,zbv4x,xxgnt,ruz2k,vcnt3,v3wds,pe6av,e5tkb,pwhch,nharp,ht79q,udpug,amrdm,am4cz,jjbea,vdwgc,23gnn,ee9fx,xv2rp,fectd,qs6bd,xbnnx,2WHXc",2whxc,xbnnx
2WmZj,y,2022-03-06 20:49:41,2022-02-20 20:49:41,y,2022-02-20 20:50:56,,,,5jHPa,57,hwley,"hwley,d5pmj,peuej,cbadn,fb4v5,dhwyp,y6kvj,c5gka,hnkn8,ypbwn,zza8w,4prx5,55vxd,bmrsv,metfm,5xzqu,sp98t,ajmyu,mazxv,98f2j,vmsct,ebbvk,k3spa,kudm6,dgh5n,rmbht,qh869,t7cb3,s76x5,hp6gy,kk3eb,v4ztu,5qkxq,dr7wp,dgjyd,xgg8y,2hdnv,hnjfm,ryyvp,bzwqz,bbvhu,a5rvz,3ubzx,tx9bd,vmrku,y7hxg,kxqss,zhgc6,a6ajh,t7cmr,8q5m7,xtend,abm7n,75ubs,huqqb,hyvkg,5jhpa,2WmZj",2wmzj,5jhpa
